X1,X2
FBFBBFB,RRL
BBFFBFF,RLR
FBBFFBB,LLL
FBFBFBF,RRR
FBBBFFF,LLL
FFBFBBF,LLR
BFBBBFB,LRR
BFBBBFF,RLL
FBFFBFF,LLL
BFBFBFF,RLR
FBFBFFB,LLL
FBFFBBF,LLR
FBFBBBB,LRR
BFFBBBF,LLL
BFBBFBB,LLL
FBFFFFB,LRL
BFBFFFF,LRR
BFBBFFB,RRL
FBFFFFB,LLL
FBBBBFF,RLR
BFBBBFB,LRL
BBFFBFB,RRL
FBBFFFB,RRL
FFBFBBF,RRL
FFFFBBF,LLR
FBFFFBB,RLR
FFBBFBB,RRR
FFBFBFF,RLL
BFFFFFB,LRL
FFBBBFB,LLR
FBBFFBB,LRR
FBBFFBB,RRL
FFBBBFF,RRL
FFBFFBB,RLL
FBBFFBF,LLL
BFBBFBB,RRL
FFFFFBB,RLR
FBBBFFF,LRL
BFBBFBB,RRR
BFBFFBF,LLL
BFFBFBB,LRL
FBFBFFF,LRR
FBFBBBB,LLR
FFFFBFF,RLR
BFFBFBB,LRR
BBFFBBB,LRL
FBBFFFF,LLL
FBFBFFF,RLL
FFFBFBF,RLL
BBFFFBF,LRR
BFFBBBB,LRL
BBFFBBF,LLL
FBBBBBF,LLR
BFFFFBB,RRR
FFBBFBB,RLR
FBFBFFF,RRL
BFFBFBF,RLL
FBFBFBB,LRR
BBFFBBB,RLL
FFBBFFF,LRL
FFFBFBB,LLR
BFFFBFF,LLL
BFFFBFF,LRL
BFFBFFB,LLR
BFBBFBB,LRL
FFFBFFF,RRL
BFFFBBF,LRR
FFBBBFF,RRR
FBBFBBB,RLR
FFBFBFF,LRL
BBFFBFB,RRR
FBBFFFB,LLL
FBFFBBF,RRR
BFBFFFB,LLL
FFFFBFF,LLR
FBFBFBF,LRR
BFFFBBF,RLL
BFBBBFF,LRR
FFBBFBB,LRR
BFFFFBB,RLR
BFBFBBB,LLR
BFFFFBB,LLL
FBBFFBB,RLL
FBFFBFB,RRR
BFBFBFF,LRR
FFFFBBB,RRL
FBBBFFB,RRR
FFFFBFF,LLL
BFBFBFB,RRR
FBBBBBF,RRR
BFBBBBB,RLL
BFBFFBB,RRL
BFFFFFF,RLL
BFBBBBF,RLL
FBFFFFF,LLR
FFFBBFB,RRL
BFBBFBF,RRL
FFFFBBF,RLL
FFFFFBB,RRL
FFBFFBF,RRR
FFBBFBB,RRL
